MaterialNumber,ProductType,Plant,ComplexityScore,IfPhasedOut
004573445868,Disposables,569722,5,NA
004573463868,Disposables,569722,3,NA
004580573680,Hardware,569261,1,NA
004582011679,Hardware,570551,4,NA
004582019679,Hardware,570551,6,NA
004582049679,Hardware,570551,10,NA
004582355868,Disposables,569762,10,NA
004582389868,Disposables,569762,6,NA
004582958868,Disposables,569722,8,NA
004583009868,Disposables,569722,5,x
004583044868,Disposables,569722,9,x
004583353679,Disposables,569722,8,NA
004584070679,Hardware,569212,2,NA
004589258679,Hardware,570221,1,NA
004591556679,Software,569967,10,NA
004591599679,Software,569967,2,NA
004591607679,Software,569967,6,NA
004591634679,Software,569967,3,NA
004591664679,Software,569967,9,NA
004591672679,Software,569967,5,NA
004591705679,Software,569967,8,NA
004591723679,Software,569967,5,NA
004592802679,Hardware,569471,8,NA
004593201868,Disposables,569732,7,NA
004595483868,Hardware,569471,5,NA
004621122679,Disposables,569416,8,NA
004621138838,Disposables,569565,7,NA
004621138868,Disposables,569565,8,NA
004621152838,Disposables,569565,1,NA
004621152868,Disposables,569565,2,NA
004621160838,Disposables,569565,4,NA
004621160868,Disposables,569565,7,NA
004621168838,Disposables,569565,3,NA
004621168868,Disposables,569565,4,NA
004621176838,Disposables,569565,6,NA
004621176868,Disposables,569565,8,NA
004621185868,Disposables,569565,5,NA
004621203868,Disposables,569565,9,NA
004621211868,Disposables,569565,4,NA
004621300679,Disposables,569416,1,NA
004627660694,Disposables,570061,9,NA
004627660697,Disposables,570061,4,NA
004627660748,Disposables,570061,2,NA
004627660838,Disposables,570061,2,NA
004627660850,Disposables,570061,3,NA
004627703694,Disposables,570061,6,NA
004627703697,Disposables,570061,9,NA
004627703748,Disposables,570061,9,NA
004627703848,Disposables,570061,10,NA
004627703850,Disposables,570061,3,NA
004627719838,Disposables,570061,10,NA
004627719868,Disposables,570061,3,NA
004627727838,Disposables,570061,2,NA
004627757694,Hardware,570051,5,NA
004627757697,Hardware,570051,4,NA
004627757748,Hardware,570051,5,NA
004627757848,Hardware,570051,5,NA
004627757852,Hardware,570051,9,NA
004631263868,Disposables,569762,3,NA
004632055889,Disposables,569279,7,NA
004637117679,Disposables,570241,7,NA
004641847679,Hardware,569261,1,NA
004641874679,Hardware,569261,3,NA
004641890679,Hardware,569261,3,NA
004641898679,Hardware,569261,4,NA
004641941679,Hardware,569261,10,NA
004641945679,Hardware,569261,10,NA
004641963679,Hardware,569261,3,NA
004641971679,Disposables,569421,4,NA
004641979679,Disposables,569421,6,NA
004641987679,Disposables,569421,4,NA
004642014679,Disposables,569421,1,NA
004642880679,Hardware,569261,8,NA
004643575679,Hardware,570551,10,NA
004644000838,Disposables,569564,1,x
